doc_id,datetime,text,media,likes,reposts,replies,username,handle,user_description,user_image,user_followers,sponsored,target,condition,sequence,comment
1,3/20/2024 9:15,Today I completed a marathon of books that were recommended by a friend working in the tech industry. All of them were extremely insightful but I have to admit that 'Exponential Organizations' stood out. A must-read for anyone looking to thrive in an era of constant change! #futureorganizations ,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/1.john_media.avif,46,0,3,JohnP,John Parker,"An accountant by day, fashion enthusiast by night. Always trying to learn something new and see things from different angles. ",https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/1.john_user.avif,543,0,,A,1,filler1
2,3/20/2024 11:21,"Yesterday, I was having lunch with a group of friends at a local restaurant near my place. Then I went to the bathroom and I found this...The worst part was that I tried to flush the toilet and flood the bathroom. NOOOO, it was repulsive!!! #Bathroom",https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/2D.barbara_media_disgust.jpg,54,18,35,BarbaraSmith,Barbara Smith,"Zodiac expert | Yoga professor | Life isn't about waiting for the storm to pass, it's about learning to dance in the rain. ",https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/2.barbara_user.avif,713,0,,A,2,disgust_barbara
3,3/20/2024 15:12,Hong Kong attracts 24 applicants for crypto exchange permits. The city is seeking to foster a regulated hub for digital assets.#technology #crypto,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/4.bloomberg_media.avif,94,14,16,Bloomberg,Bloomberg,"Connecting decision makers to a dynamic network of information, people and ideas.",https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/4.bloomberg_user.jpg,720393,0,,A,3,bloomberg
4,3/20/2024 17:00,Research has shown that 75% of mental health problems emerge before the age of 18. Find out how experts are analysing the brain's development from infancy through to adolescence. #mentalhealth #brain,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/3.oxford_media.avif,101,12,3,UniofOxford,University of Oxford,"Welcome to our official account. Follow for the latest news, research and updates about life at Oxford.",https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/3.oxford_user.jpg,993839,0,,A,4,oxford
5,3/20/2024 17:14,The AI era. The Angstrom era. The_____era. What's next for the world and for us? Give us your guesses below.,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/5.intel_media.jpg,61,3,40,Intel,Intel,"Intel news, views & events about global tech innovation. Looking for support? Tweet @IntelSupport",https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/5.intel_user.png,4900846,0,,A,5,intel
6,3/21/2024 9:11,"Just moved into my student residence and encountered a persistent awful smell. I opened a drawer and stumbled upon a moldy, foul-smelling leftover. Seriously questioning the cleanliness standards here #studentlife",https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/6D.mark_media_disgust.jpg,15,1,10,MarkTaylor20,Mark Taylor,Psychology student exploring the intricate layers of human behavior. Enthusiast of both the mind and the canvas. #Psychology #Art #Humanity,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/6.mark_user.jpg,294,0,,A,6,disgust_mark
7,3/21/2024 11:32,"Summit Series is built to stand the tests of nature and time. It’s developed for the best, when the best are at their limit.
Shop Summit Series",https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/8.northface_media.jfif,101,19,2,Thenorthface,The North Face,Official home of The North Face. #NeverStopExploring,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/8.northface_user.jpg,557400,0,,A,7,northface
8,3/21/2024 12:15,Dream a little dream of Pure Cool Me™. Purified air to cool you at night with our latest air projection technology. Set the sleep timer so you can keep cool and comfortable while you rest.,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/9.dyson_media.jfif,32,8,3,Dyson,Dyson,We’re here to share news and updates about Dyson technology. Please tweet 'AskDyson' for customer support.,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/9.dyson_user.png,91300,0,,A,8,dyson
9,3/21/2024 14:41,"Today, we reflect on the efforts we have already made to reduce our impact on the environment and focus on how we can do more.
#EverydayHeroes #WeDeliverPromises",https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/7.yodel_media.jfif,1,2,9,YodelOnline,Yodel,Track your parcel at http://yodel.co.uk. Download the Yodel app today and see a two-hour delivery window and a delivered image for every parcel delivered to a door.,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/7.yodel_user.jpg,70700,0,,A,9,yodel
10,3/21/2024 20:12,Walking among the ancient Roman ruins today feels like stepping back in time. Imagining the lives of those who once walked these streets - humbling reminder of our shared human journey.  #RomanEmpire #Archaeology,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/10.david_media.avif,36,28,14,DavidRod,David Rodriguez,Archaeologist based in Italy | Expert in hieroglyphs |Outdoor enthusiast & Landscape photographer,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/10.david_user.avif,954,0,,A,10,filler2
11,3/20/2024 9:15,Today I completed a marathon of books that were recommended by a friend working in the tech industry. All of them were extremely insightful but I have to admit that 'Exponential Organizations' stood out. A must-read for anyone looking to thrive in an era of constant change! #futureorganizations ,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/1.john_media.avif,46,0,3,JohnP,John Parker,"An accountant by day, fashion enthusiast by night. Always trying to learn something new and see things from different angles. ",https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/1.john_user.avif,543,0,,B,1,filler1
12,3/20/2024 11:21,"Just moved into my student residence and encountered a persistent awful smell. I opened a drawer and stumbled upon a moldy, foul-smelling leftover. Seriously questioning the cleanliness standards here #studentlife",https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/6D.mark_media_disgust.jpg,15,1,10,MarkTaylor20,Mark Taylor,Psychology student exploring the intricate layers of human behavior. Enthusiast of both the mind and the canvas. #Psychology #Art #Humanity,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/6.mark_user.jpg,294,0,,B,2,disgust_mark
13,3/20/2024 15:12,Hong Kong attracts 24 applicants for crypto exchange permits. The city is seeking to foster a regulated hub for digital assets.#technology #crypto,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/4.bloomberg_media.avif,94,14,16,Bloomberg,Bloomberg,"Connecting decision makers to a dynamic network of information, people and ideas.",https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/4.bloomberg_user.jpg,720393,0,,B,3,bloomberg
14,3/20/2024 17:00,Research has shown that 75% of mental health problems emerge before the age of 18. Find out how experts are analysing the brain's development from infancy through to adolescence. #mentalhealth #brain,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/3.oxford_media.avif,101,12,3,UniofOxford,University of Oxford,"Welcome to our official account. Follow for the latest news, research and updates about life at Oxford.",https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/3.oxford_user.jpg,993839,0,,B,4,oxford
15,3/20/2024 17:14,The AI era. The Angstrom era. The_____era. What's next for the world and for us? Give us your guesses below.,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/5.intel_media.jpg,61,3,40,Intel,Intel,"Intel news, views & events about global tech innovation. Looking for support? Tweet @IntelSupport",https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/5.intel_user.png,4900846,0,,B,5,intel
16,3/21/2024 9:11,"Yesterday, I was having lunch with a group of friends at a local restaurant near my place. Then I went to the bathroom and I found this...The worst part was that I tried to flush the toilet and flood the bathroom. NOOOO, it was repulsive!!! #Bathroom",https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/2D.barbara_media_disgust.jpg,54,18,35,BarbaraSmith,Barbara Smith,"Zodiac expert | Yoga professor | Life isn't about waiting for the storm to pass, it's about learning to dance in the rain. ",https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/2.barbara_user.avif,713,0,,B,6,disgust_barbara
17,3/21/2024 11:32,"Summit Series is built to stand the tests of nature and time. It’s developed for the best, when the best are at their limit.
Shop Summit Series",https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/8.northface_media.jfif,101,19,2,Thenorthface,The North Face,Official home of The North Face. #NeverStopExploring,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/8.northface_user.jpg,557400,0,,B,7,northface
